name,responsible_for_v,responsible_for_i,receiving_v,receiving_i,prefix_list
Egypts Presidential Specialized Council for Education and Scientific Research,0,0,5,8,10.21608
Ejournal of Public Affairs,0,0,0,3,10.21768
Ekonomi Politika ve  Finanas Arastirmalari  Dergisi,1,3,0,0,10.30784
"El Colegio Mexiquense, A. C.",0,0,0,1,10.22136
"El Colegio de Mexico, A.C.",0,0,0,2,10.24201
El Colegio de la Frontera Norte A.C.,0,3,0,0,10.33679
El-Cezeri: Journal of Science and Engineering,0,59,0,0,10.31202
El-Med-Pub Publisher,0,0,0,5,10.21699
Electoral Institute for Sustainable Democracy in Africa (EISA),1,0,0,0,10.20940
Electric,0,0,0,1,10.20415
Electric Furnace Steel Forum,0,0,0,2,10.4262
Electronic Journal of Social Sciences,1,70,0,2,10.17755
Element d.o.o.,0,0,1,7,10.7153
Elementary Education Research Institute,0,8,0,0,10.20972
"Elewa Biosciences, F.a.C.T Ltd (K)",0,2,0,0,10.35759
Eleyon Publishers,0,0,0,1,10.26524
"Elmer Press, Inc.",0,0,0,11,10.14740
Elsevier BV,11867,4775,841,86888,10.1016__10.2139__10.1006__10.1053__10.1205__10.1580__10.1197__10.1054__10.2353__10.1378__10.1067__10.1602__10.1078__10.2111__10.3129__10.14219__10.1240__10.1533__10.1529__10.1331__10.1157__10.4065__10.3816__10.1367__10.1383__10.3182__10.21967__10.3921
Elyns Group LLC,0,0,0,1,10.19104
Embrapa Florestas,0,0,0,6,10.4336
Embry-Riddle Aeronautical University/Hunt Library,0,0,0,1,10.15394
Emerald,517,3830,6,1301,10.1108__10.5042__10.35241
Emergent Publications,0,0,0,1,10.17357
Emerging Health Threats Forum CIC,0,0,0,15,10.3134
EnPress Publisher,0,0,0,13,10.24294
Endocrine Oncology and Metabolism,0,0,0,4,10.21040
Endocrinology Research Centre,4,114,0,13,10.14341
Endoscopy Gastrointestinal,1,0,0,0,10.17940
Energa SA,0,0,0,5,10.12736
Engaged Scholar Journal,0,0,0,1,10.15402
Engineered Science Publisher,1,0,0,0,10.30919
Engineering Sciences Press,2,0,0,1,10.15302
Engineering and Technology Publishing,6,1,15,8,10.12720
"Engineering, Technology & Applied Science Research",3,0,0,0,10.48084
English Literature in Transition (Project Muse),0,0,0,1,10.2487
Enquiry:  The ARCC Journal of Architectural Research,0,0,0,1,10.17831
Entomological Society of America,13,417,0,100,10.1603
Entomological Society of America (Arthropod Management Tests),0,0,0,1,10.4182
Entomological Society of Indonesia/Perhimpunan Entomologi Indonesia,0,0,0,1,10.5994
Entomological Society of Southern Africa,3,0,2,5,10.4001
Entomological Society of Washington,1,0,0,0,10.4289
Entrepreneurship and Sustainability Center,0,0,1,28,10.9770
Enviro Research Publishers,5,0,0,0,10.12944
Environmental Health Perspectives,19,428,1,304,10.1289
Environmental Research and Technology,0,2,0,0,10.35208
Environmental and Engineering Geophysical Society,1,0,0,0,10.32389
Eotvos Lorand University (ELTE),0,0,0,3,10.26830
Epistemology (Journal of Islamic Social Sciences),0,0,0,1,10.37327
Equinox Publishing,18,16,3,138,10.1558__10.11139
Erasmus Journal for Philosophy and Economics,0,0,0,1,10.23941
Erciyes Iletisim Dergisi,3,8,0,0,10.17680
Erciyes Journal of Education,0,1,0,0,10.32433
Erciyes University Journal of Faculty of Economics and Administrative Sciences,0,14,0,1,10.18070
Erdal Karapinar,2,5,0,0,10.31197
Erdkunde,0,0,0,5,10.3112
Ergonomi,0,19,0,0,10.33439
Ergoterapi ve Rehabilitasyon Dergisi,0,11,0,0,10.30720
Erich Schmidt Verlag GmbH & Co. KG,0,0,25,0,10.37307
Ermeni Arastirmalari,0,1,0,0,10.36542
"Ernst Reinhardt, GmbH & Co. KG",0,0,0,8,10.2378
Erzincan Universitesi Fen Bilimleri Ensitusu Dergisi,0,35,0,2,10.18185
Erzincan University Journal of Education Faculty,0,18,0,1,10.17556
Escola Bahiana de Medicina e Saude Publica,0,0,0,3,10.17267
Escola Superior de Educacao de Paula Frassinetti,0,0,0,2,10.17346
Escola Superior de Propaganda e Marketing (ESPM),0,0,0,2,10.18568
Escola de Enfoermagem Aurora de Afonso Costa,0,0,0,3,10.17665
Escuela Politecnica Nacional,0,0,0,1,10.33333
Escuela de Ingenieria de Antioquia - EIA,0,0,0,5,10.14508
Eskisehir Osmangazi Universitesi Muhendislik ve Mimarlik Fakultesi  Dergisi,0,6,0,0,10.31796
Eskisehir Osmangazi University Journal of Economics and Administrative Sciences,0,106,0,0,10.17153
Eskisehir Turk Dunyasi Uygulama ve Arastirma Merkezi Halk Sagligi Dergisi,1,10,0,0,10.35232
"Esmon Publicidad, SA",0,0,2,1,10.18176
Ess & Ess Research Publications,0,0,0,59,10.15662__10.15680
Essentia Editora,0,0,0,1,10.19180
Estonian Academy Publishers,0,0,0,13,10.3176
Estonian Literary Museum of Scholarly Press,0,0,0,1,10.7592
Etcetera Publications,0,0,0,1,10.34195
Etlik Veteriner Mikrobiyoloji Dergisi,0,6,0,0,10.35864
Eurasian Journal of Forest Science,0,45,0,0,10.31195
Eurasian Journal of Soil Sciences,1,0,0,1,10.18393
Eurasian Publications,0,0,0,1,10.15604
Eurasian Society of Educational Research,0,0,0,117,10.12973
Eurasian Society of Family Medicine,1,0,0,0,10.33880
"Euroasian Scientific and Industrial Chamber, Ltd.",0,0,0,2,10.17513
Europa Digital & Publishing,0,1,14,7,10.4244
European Academy of Applied and Social Sciences (EURAASS),1,0,0,0,10.34154
European Alliance for Innovation n.o.,0,0,0,23,10.4108
European Association of Cardiothoracic Surgery (EACTS Publishing Ltd),2,0,0,14,10.1510
European Association of Geochemistry,0,0,0,1,10.7185
European Cells and Materials,0,0,0,2,10.22203
European Center of Sustainable Development,0,0,0,7,10.14207
European Centre for Disease Control and Prevention (ECDC),17,3,382,120,10.2807
European Chemical Bulletin,0,0,2,0,10.17628
European Council for Modeling and Simulation,0,0,0,1,10.7148
European Journal of Chemistry,0,2,0,15,10.5155
European Journal of Forest Engineering,1,0,0,0,10.33904
European Journal of Science and Technology,1,131,0,0,10.31590
European Mathematical Society - EMS - Publishing House GmbH,0,0,0,3,10.4171
European Mechanical Science,0,70,0,0,10.26701
European Medical Group,2,0,0,0,10.33590
European Open Science Publishing,0,0,0,1,10.24018
European Optical Society,0,0,0,17,10.2971
European Regional Science Association,0,0,0,2,10.18335
European Respiratory Society (ERS),17,71,14,226,10.1183
"European Scientific Institute, ESI",0,0,0,23,10.19044
European Scientific Platform,0,0,0,1,10.36074
Eurowaste SRL,1,20,0,0,10.31025
Ewha Institute of Unification Studies,0,2,0,0,10.31780
Ewha Music Research Institute,0,1,0,1,10.17254
Excellent Publishers,0,0,0,12,10.20546
"Exeley, Inc.",5,0,54,7,10.21307
Exon Publications,1,0,0,0,10.36255
Experiment,0,0,0,1,10.18258
Eye Reports,0,0,0,2,10.16964
F1000 Research Ltd,83,111,0,143,10.12688
FACCAMP - Faculdade Campo Limpo Paulista,0,0,0,2,10.6034
FACECLA,0,3,0,0,10.5329
FARC of the North-East named N.V. Rudnitskogo,0,0,0,2,10.30766
FASEB,22,255,73,639,10.1096
FECAP Fundacao Escola de Comercio Alvares,0,0,0,5,10.7819
FGBU IMCEUAOSMP ROSZDRAVNADZOR,0,0,0,1,10.35576
FKIP Universitas Halu Oleo,0,0,0,1,10.36709
FKIP Universitas Sultan Ageng Tirtayasa,0,0,0,1,10.30870
FSAEIHE South Ural State University (National Research University),1,11,0,16,10.14529
FSB EIHE Omsk State Technical University,0,0,0,1,10.25206
FSB Educational Establishment of Higher Education Daghestan State Technical University,0,0,0,1,10.21822
FSBEI HE Voronezh State University of Engineering Technologies,1,0,0,4,10.20914
FSBEI of Higher Education SamSMU of Ministry of Health of the Russian Federation,1,37,0,0,10.35693
FSBEIHE Tula State Lev Tolstoy Pedagogical University,0,0,0,5,10.22405
FSBEU HE Saratov SAU,0,0,0,1,10.28983
FSBI All Russian Research Institute for Mechanization in Agriculture (VIM),0,0,0,1,10.22314
"FSBI Center of Geodesy, Cartography, and SDI",0,1,0,0,10.22389
FSBI Research Institute of Occupational Health RAMS,1,0,0,0,10.31089
FSBI SRIGR RAMS,0,0,0,3,10.15360
FSBI Scientific and Research Financial Institute,0,0,0,1,10.31107
FSBSI All-Russian Scientfic Research Institute of Vegetable Breeding and Seed Production,0,0,0,2,10.18619
FSBSI MHI,0,0,0,1,10.22449
FSBSI TINRO Center,0,0,0,8,10.26428
FSEI HPE Murmansk State Technical University,0,0,0,1,10.21443
FSFEI HE Don State Technical University,0,0,0,3,10.23947
FSPSI SCFHHRP,2,0,0,0,10.29413
FSUE All-Russian Scientific Research Institute of Aviation Materials,0,0,0,30,10.18577
FSUE VNIIMS All-Russian Research Institute of Metrological Service,0,0,0,19,10.32446
FTMS College,0,0,0,8,10.24924
"Faculdade de Economia, Administracao e Contabilidade",0,0,0,7,10.5773
Faculdade de Filosofia e Ciências,0,0,0,1,10.36311
Facultad De Ingenieria Universidad Del Zulia,0,0,0,2,10.21311
"Facultad Latinoamericana de Ciencias Sociales, Ecuador (FLACSO)",0,0,0,2,10.17141
Facultad de Artes y Humanidades,1,0,0,0,10.25025
"Facultad de Ciencias de la Salud, UDES",0,1,0,0,10.20320
"Facultad de Odontologia, Universidad de Concepcion",13,0,0,0,10.17126
Facultad de Psicologia - Universidad de Buenos Aires,0,2,0,0,10.32824
Faculty Opinions Ltd,0,0,0,6,10.3410
Faculty of Agrobiotechnical Sciences Osijek,0,0,0,2,10.18047
"Faculty of Civil Engineering, University of Zagreb",0,0,0,1,10.5592
Faculty of Civil and Geodetic  Engineering,0,0,0,2,10.15292
"Faculty of Computer Science, Universitas Indonesia",0,0,0,1,10.21609
"Faculty of Economics and Business, Mulawarman University",0,0,0,1,10.29264
"Faculty of Economics and Business, University of Zagreb",0,0,0,1,10.22598
"Faculty of Economics, University of Brawijaya",0,0,0,1,10.18202
"Faculty of Economics, VSB Technical University of Ostrava",0,0,0,1,10.7327
"Faculty of Education and Teacher Training, Jambi University",0,0,0,2,10.22437
"Faculty of Electrical Engineering and Computing, Univ. of Zagreb",0,0,0,1,10.20532
Faculty of Engineering Diponegoro University,0,0,0,17,10.12777
"Faculty of Engineering, Chulalongkorn University",0,0,0,6,10.4186
"Faculty of Engineering, Federal University Oye-Ekiti",0,0,2,0,10.46792
"Faculty of Engineering, University of Kragujevac",0,0,1,3,10.24874
Faculty of Food Technology and Biotechnology - University of Zagreb,0,0,0,12,10.17113
"Faculty of Food and Agriculture, United Arab Emirates University",0,0,2,23,10.9755
"Faculty of Forestry, University of Zagreb",0,0,0,1,10.5552
"Faculty of Geography, Bucharest University",0,1,0,2,10.5719
Faculty of Law Josip Juraj Strossmayer University of Osijek,0,1,0,0,10.25234
"Faculty of Mathematics, Computer Science and Econometrics, University of Zielona Gora",0,0,0,1,10.7151
Faculty of Mechanical Engineering,0,0,0,10,10.5545
"Faculty of Mechanical Engineering and Naval Architecture, Univ. of Zagreb",0,0,0,2,10.21278
Faculty of Medicine Universitas Indonesia,0,0,0,2,10.23886
"Faculty of Medicine, Chulalongkorn University (Asian Biomedicine)",0,1,0,57,10.5372
"Faculty of Medicine, Universitas Indonesia",1,0,0,1,10.13181
"Faculty of Mining, Geology and Petroleum Engineering",0,0,0,6,10.17794
Faculty of Navigation,0,0,0,1,10.12716
Faculty of Organizational Sciences,0,5,0,1,10.7595
"Faculty of Pharmacy, Mahidol University",0,0,0,1,10.29090
Faculty of Physical Education and Sport,0,0,0,1,10.5550
"Faculty of Physical Education and Sports, Alexandru Ioan Cuza - University of IASI, Romania",0,4,0,0,10.36836
"Faculty of Sciences, University of Novi Sad",1,4,0,0,10.30755
"Faculty of Teacher Education, University of Zagreb",0,0,1,2,10.15516
Faculty of Technical Sciences,0,0,0,3,10.24867
Faculty of Transport and Traffic Sciences,0,0,0,6,10.7307
Faculty of Veterinary Medicine - Skopje,0,2,0,0,10.14432
"Faculty of Veterinary Medicine, Syiah Kuala University (IVMA)",0,0,2,3,10.21157
"Faculty of Veterinary Medicine, University of Zagreb",0,0,0,1,10.24099
Fair East Publishers,0,0,0,1,10.51594
Fakultas Ekonomi dan Bisnis Universitas Indonesia,0,0,0,3,10.21002
Fakultas Hukum Universitas Samudra,0,0,0,1,10.33059
Fakultas Ilmu Komputer Universitas Brawijaya,0,0,0,2,10.25126
Fakultas Ilmu Sosial dan Ilmu Politik Universitas Hasanuddin,0,0,0,1,10.31947
"Fakultas Kehutanan, Universitas Hasanuddin (Forestry Faculty, Hassannuddin Univ)",0,0,0,2,10.24259
Fakultas Kesehatan Masyarakat Universitas Hasanuddin,0,0,0,1,10.30597
Fakultas MIPA Universitas Negeri Makassar,0,0,0,1,10.35580
Fakultas MIPA Universitas Tadulako Palu,0,0,0,3,10.22487
Fakultas Sains dan Teknologi UINSA,0,3,0,0,10.29080
Family Practice and Palliative Care,0,15,0,0,10.22391
FapUNIFESP (SciELO),280,0,35,638,10.1590__10.7476
Far Eastern Scientific Center Of Physiology and Pathology of Respiration,1,0,0,0,10.36604
Farmarus Print Media,0,5,0,0,10.36691
"Farname, Inc.",1,7,10,0,10.30699
Federacion Colombiana de Obstetricia y Ginecologia,1,1,1,1,10.18597
Federacion Latinoamericana de Sociedades Cientificas de Estudiantes de Medicina (FELSOCEM),0,0,0,1,10.23961
Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences (FCTAS RAS),1,0,0,0,10.19181
Federal Medical Biological Agency,1,0,0,0,10.47183
Federal Research Center &quot;Computer Science and Control&quot; of the Russian Academy of Sciences,0,0,0,1,10.14357
Federal Research Institute for Health Organization and Informatics,0,0,0,1,10.21045
Federal Research and Clinical Center for Resuscitation and Rehabilitation,5,32,0,0,10.36425
Federal Reserve Bank of Cleveland,0,2,0,0,10.26509
Federal Reserve Bank of Philadelphia,0,0,0,1,10.21799
Federal Reserve Bank of San Francisco,0,0,0,1,10.24148
Federal Reserve Bank of St. Louis,0,0,0,1,10.20955
Federal Scientific Center for Hygiene F.F.Erisman,1,0,0,0,10.47470
Federal State Educational Institution of Higher Education Novosibirsk State Agrarian University,1,0,0,0,10.31677
Federal State-Financed Educational Institution of Higher Education Moscow State University of Psychology and Education,3,0,0,4,10.17759
Federation of State Medical Boards,3,0,0,0,10.30770
Federation of Turkish Pathology Societies,0,0,0,6,10.5146
Felix Meiner Verlag GmbH,0,0,756,0,10.28937
Feminist Studies,0,0,0,2,10.15767
Fennia - International Journal of Geography,0,0,0,2,10.11143
Ferrata Storti Foundation (Haematologica),4,0,1,73,10.3324
Field Museum of Natural History,0,0,0,1,10.3158
Financial University under the Government of the Russian Federation,0,0,0,6,10.26794
Finans Ekonomi ve Sosyal Arastirmalar Dergisi,0,4,0,0,10.29106
Finnish Academy of Science and Letters,0,0,1,1,10.5186
Finnish Society of Forest Science,0,0,0,4,10.14214
Finnish Yearbook of Population Research,0,0,88,0,10.23979
Finnish Zoological and Botanical Publishing Board,2,0,0,0,10.5735
Firat Universitesi Muhendislik Bilimleri Dergisi,1,52,0,0,10.35234
Firat Universitesi Sosyal Bilimler Dergisi,0,6,0,0,10.18069
Firenze University Press,0,9,3,0,10.36253
Fiscaoeconomia,1,6,0,0,10.25295
Florida Entomological Society,7,0,0,9,10.1653
Florida State University College of Medicine,0,0,0,1,10.17125
Fogorvosi Szemle,0,0,0,3,10.33891
Folium Publishing Company,0,0,2,37,10.30906
Fond Oncoprogress,0,0,0,22,10.18027
Fondazione CUEIM,0,0,0,5,10.7433
Food and Agriculture Organization of the United Nations (FAO),0,0,46,0,10.4060
Foot and Ankle Online Journal,0,0,0,16,10.3827
Fordham University Press,0,0,0,3,10.5422
Foreign Policy Research Foundation,0,0,0,1,10.31278
Foreign Studies Institute,8,10,0,0,10.15755
Foreningen Lambda Nordica,0,0,1,0,10.34041
Forest Products Society,0,0,0,5,10.13073
Forest Research Institute,0,0,0,1,10.36808
Forestist,0,0,0,1,10.17099
Forschungsinstitut zur Zukunft der Arbeit GmbH,0,0,0,8,10.15185
"Forschungszentrum Julich, Zentralbibliothek",0,0,0,6,10.17815
Fortune Journals,0,0,0,6,10.26502
Foundation University Islamabad,0,0,0,1,10.33897
Foundation for Open Access Statistic,0,0,0,569,10.18637
Foundation for the Promotion and Accreditation of Economic Education,1,0,0,0,10.15219
Foundation of Computer Science,0,0,0,121,10.5120
Foundation of Nursing Studies,0,0,0,1,10.19043
Francis Academic Press Ltd.,0,0,0,8,10.25236
Franco Angeli,13,9105,0,3,10.3280
Fraunhofer-Institut fur Materialfluss und Logistik,0,0,1,0,10.2195
French Sciences Publishing Group,0,0,0,4,10.18088
French-Vietnamese Association of Pulmonology,0,0,0,1,10.12699
Freshwater Biological Association,0,0,0,1,10.5268
Friends Science Publishers,0,0,0,7,10.17957
"Fronteiras: Journal of Social, Technological and Environmental Science",0,0,0,2,10.21664
Frontier Research Today S A,0,7,0,0,10.31716
Frontiers Media SA,1772,45167,754,4428,10.3389__10.4175__10.3232
"Frontline Medical Communications, Inc.",1,0,0,21,10.12788
Fuji Technology Press Ltd.,4,0,0,7,10.20965
Fujita Medical Society,0,0,0,1,10.20407
Functional Food Center,0,0,269,2,10.31989
Functional Plant Breeding Journal,0,0,1,0,10.35418
"Fund Doctors, Innovations, Science for Children",2,0,0,3,10.24287
Fundacao Edson Queiroz,0,0,0,3,10.5020
Fundacao Educational de Ituverava,0,0,0,4,10.3738
Fundacao Faculdade de Medicina,3,1,5,11,10.6061
Fundacao Getulio Vargas,0,0,0,3,10.12660
Fundacao Oswaldo Cruz,0,0,0,2,10.3395
Fundacao Pedro Leopoldo - Revista Gestao and Tecnologia,0,0,0,2,10.20397
Fundacao Universidade Regional de Blumenau,0,0,0,7,10.7867
Fundacio Scito,0,0,0,1,10.29363
Fundacio per la Universitat Oberta de Catalunya,0,0,0,8,10.7238
Fundacion Cinde,1,0,0,11,10.11600
Fundacion Miguel Lillo,0,0,0,1,10.30550
Fundacion Universidad Autonoma de Colombia,0,0,0,1,10.26564
Fundacion Universitaria Konrad Lorenz,0,0,0,31,10.14349
Fundacion Universitaria San Pablo CEU,0,1,0,0,10.31921
Fundacion Universitaria Sanitas,0,1,0,0,10.26852
Fundacion Universitaria del Area Andina,0,0,2,0,10.33132
Fundacion de Ciencias de la Salud,0,0,0,1,10.13184
Fundacion para el Analisis Estrategio y Desarrollo de la Pequena y Mediana Empresa (FAEDPYME),0,2,0,0,10.15558
Fundacja Upowszechniajaca Wiedze i Nauke Cognitione,1,1,0,0,10.7341
Fundamental Journal of Mathematics and Applications,0,1,0,1,10.33401
Fundatia Universitara Sanabuna,0,0,0,2,10.22336
Future Medicine Ltd,126,2,3,245,10.2217
Future Science Ltd,22,115,13,55,10.4155__10.2144
G N Corporation Co Ltd,0,0,7,0,10.46582
GENES,0,138,0,0,10.15609
GEOMAR Helmholtz Centre for Ocean Research Kiel,0,0,0,4,10.3289
GIAP Journals,1,0,0,1,10.18510
GITO mbH Verlag,0,0,0,1,10.30844
GN1 Genesis Network,0,0,1,57,10.5935
GP Innovations Pvt. Ltd.,0,0,0,7,10.26452
GRAPHIMEDIC SA DE CV,2,0,0,0,10.35366
"GRID Architecture, Planning and Design Journal, Cankaya University",0,2,0,0,10.37246
GSC Online Press,0,0,0,1,10.30574
GSE Research Limited,0,0,13,1,10.9774
Gaia Scientia,0,0,0,4,10.21707
Galatasaray Universitesi Iletisim,1,5,0,0,10.16878
Galenos Yayinevi,0,0,4,37,10.4274
Gastroia Journal of Gastronomy and Travel Research,0,2,0,0,10.32958
Gatha Cognition,2,0,0,0,10.21523
Gavin Publishers,0,0,3,21,10.29011
Gazi Egitim Faukeltesi Dergisi,1,11,0,2,10.17152
Gazi Universitesi Fen Bilimleri Dergisi Part C: Tasarim ve Teknoloji,1,76,0,0,10.29109
Gazi University,0,0,0,1,10.12996
Gazi University Journal of Science,1,37,0,0,10.35378
Gaziantep Universitesi Spor Bilimleri Dergisi,0,11,0,0,10.31680
Gaziantep University Journal of Social Sciences,6,54,0,0,10.21547
Genetics Society of Japan,0,2,0,6,10.1266
Genetics and Molecular Research,1,1,0,172,10.4238
GeoScienceWorld,11,66,292,54,10.2113
Geochemical Society of Japan,1,0,0,5,10.2343
Geochimica Brasiliensis,0,0,0,14,10.21715
Geofisica Internacional,0,0,0,11,10.19155
"Geography Department, University of Sao Paulo",0,0,0,1,10.7154
Geological Association of Canada,0,0,0,14,10.12789
Geological Society of America,8,19,28,1346,10.1130
Geological Society of India,0,0,0,2,10.17491
Geological Society of London,66,199,1,153,10.1144
Geological Society of Malaysia,0,0,0,9,10.7186
Geological Society of Norway,0,0,1,3,10.17850
Geological Survey of Denmark and Greenland,0,0,5,0,10.34194
Geomarketing,0,0,0,2,10.25296
Geomatik,0,9,0,0,10.29128
Geophysical Center of the Russian Academy of Sciences,1,7,0,0,10.2205
Georesursy,0,0,0,1,10.18599
Georg Thieme Verlag KG,53,364,8,986,10.1055__10.4338__10.1160__10.3414__10.3415
Georgia Entomological Society,0,0,0,1,10.18474
Georgia Southern University,0,0,0,4,10.20429
Georgia State University - Library,0,1,0,0,10.31922
Geotar-Media Publishing Group,0,0,0,1,10.33029
"Geriatik Bilimler Dergisi (Journal of Geriatric Science), Geriatrik Bilimler Dernegi (Associaton ofg",1,0,0,0,10.47141
Gesellschaft Anthroposophischer Arzte in Deutschland (GAAD),0,1,0,0,10.14271
Ghent University,0,0,0,1,10.21825
Global Academy of Training and Research (GATR) Enterprise,0,1,0,0,10.35609
Global Advances in Health and Medicine,1,0,0,11,10.7453
Global Business Publications,0,0,0,1,10.17578
Global Cardiology Science and Practice,0,0,0,1,10.21542
Global Center for Japanese Studies,0,0,0,14,10.31371
Global Clinical and Translational Research Institute,2,3,0,0,10.36316
Global Digital Central,0,0,0,3,10.5098
Global E-Business Association,0,0,0,9,10.15719
"Global Health and Education Projects, Inc. (GHEP)",0,0,2,0,10.21106
"Global Institute of Forensic Research, LLC",0,0,0,2,10.16927
Global Power and Propulsion Society,0,1,0,0,10.33737
Global Research & Development Services,0,0,0,1,10.20319
Global Science Press,1,4,3,12,10.4208
Global Science and Technology Forum,0,0,0,55,10.5176
Gokaraju Rangaraju Educational Society,0,0,0,4,10.11127
"Goodfellow Publishers, Ltd.",0,2,0,0,10.23912
Gorgias Press LLC,0,0,30,0,10.31826
Gorodets,0,0,0,1,10.22343
Graduate Program Sriwijaya University,0,0,0,1,10.22135
"Graduate School of Information Sciences, Tohoku University",1,0,0,0,10.4036
Gramota Publishers,2,13,0,0,10.30853
Grand Valley State University Libraries,0,0,0,26,10.9707
Granthaalayah Publications and Printers,5,0,0,0,10.29121
"Grapho, LLC",0,0,0,1,10.18383
"Graphyonline Publications PVT, Ltd.",0,0,0,22,10.15344
Green Theory and Praxis: The Journal of Ecopedagogy,0,0,0,1,10.3903
Grodno State Medical University,0,0,0,1,10.25298
Growing Science,0,0,0,22,10.5267
Grupo Anltyk S.A. de C.V.,0,1,0,1,10.34141
Grupo Compas,0,0,1,0,10.31876
Grupo Comunicar,5,45,0,3,10.3916
Grupo Verde de Agroecologia e Abelhas,0,0,0,2,10.18378
Gruppo Italiano Frattura,0,0,0,3,10.3221
Guilford Publications,3,66,1,313,10.1521
Gumushane University,2,1,0,0,10.37989
Gumushane University E-Journal of Faculty of Communication,0,10,0,0,10.19145
Gumushane University Journal of Science and Technology Institute,0,9,0,1,10.17714
H. S. Skovoroda Kharkiv National Pedagogical University,0,0,0,1,10.34142
HARD Publishing Company,0,0,0,6,10.15244
"HAU, Journal of Ethnographic Theory",0,0,0,1,10.14318
HB Press STIKes Husada Borneo,0,0,0,1,10.33657
"HMP Communications, LLC",0,0,0,2,10.25270
HOMEROS,0,0,0,5,10.33390
HPE Ulyanovsk SAA Stolypin,0,0,0,1,10.18286
HUFS Law Research Institute,0,3,0,0,10.17257
Hacettepe Hukuk Fakultesi Dergisi,0,1,0,0,10.32957
Hacettepe Journal of Mathematics and Statistics,0,36,0,0,10.15672
Hacettepe Journal of Sport Sciences,0,3,0,0,10.17644
Hacettepe Universitesi Edebiyat Fakultesi Dergisi,0,6,0,0,10.32600
Hacettepe University,0,3,0,0,10.15671
Hacettepe University Faculty of Health Sciences Journal,0,6,0,0,10.21020
Hacettepe University Journal of Economics and Administrative Sciences,0,6,0,0,10.17065
Hacettepe University Journal of Turkish Studies,0,1,0,0,10.20427
Haemnet,0,0,1,0,10.17225
Hak Is Uluslararasi Emek ve Toplum Dergisi,1,0,0,1,10.31199
Halic University,0,1,0,0,10.46373
Hamad bin Khalifa University Press (HBKU Press),0,0,0,22,10.5339
Hampstead Psychological Associates,0,0,0,2,10.37200
Hans Publishers,26,35,0,2,10.12677
Hanyang Economic Research Institute,0,0,0,1,10.17256
Hanyang Peace Institute,1,0,0,0,10.22539
Hapres,2,0,0,3,10.20900
"Harborside Press, LLC",4,0,69,34,10.6004
Harran Tarim ve Gida Dergisi,0,41,0,0,10.29050
Harran Universitesi Ilahiyat Fakultesi Dergisi,0,1,0,0,10.30623
Harran Universitesi Tip Fakultesi Dergisi,0,60,0,0,10.35440
Harvard Education Publishing Group,3,0,0,19,10.17763
Harvard University Botany Libraries,0,0,0,2,10.3100
Harvard University Press,0,0,0,6,10.4159
"Hasanuddin University, Faculty of Law",0,0,0,5,10.20956
Hayvansal Uretim,0,18,0,0,10.29185
Health Affairs (Project Hope),6,38,24,403,10.1377
Health Promotion and Chronic Disease Prevention Branch (HPCDP) Public Health Agency of Canada,0,0,0,1,10.24095
Health Reform Observer - Observatoire des Reformes de Sante,0,0,2,1,10.13162
Health Sciences Researches Society,0,0,0,1,10.15197
Healthcare Bulletin,0,0,0,4,10.5083
Healthy Aging Research,0,0,0,3,10.12715
Heighten Science Publications Corporation,0,0,0,3,10.29328
Hellenic Endocrine Society,0,0,0,5,10.14310
Hellenic Society of Gastroenterology,0,0,0,17,10.20524
Helminthological Society,0,0,2,61,10.1654
Herald Scholarly Open Access,0,0,1,0,10.24966
Herbert Publications PVT LTD,1,25,1,6,10.7243
Herpetological Society of Japan,0,1,0,1,10.5358
Herpetologists League,3,0,4,7,10.1655
Hetman Petro Sahaidachnyi National Army Academy,2,1,2,0,10.33577
Higher State Educational Establishment of Ukraine Bukovinian State Medical University,0,0,0,5,10.24061
"Hikari, Ltd.",0,0,0,8,10.12988
Hilaris SRL,0,0,0,1,10.37421
Hind Agri Horticultural Society,3,12,0,0,10.15740
Hindawi Limited,887,10574,77,3074,10.1155__10.4061__10.1100__10.5402__10.6064__10.7167__10.3814
Hipatia Press,0,0,0,13,10.17583
Historia Agraria,1,0,0,1,10.26882
Historians of Netherlandish Art,0,0,0,2,10.5092
Historic Brass Society,0,0,0,2,10.2153
Historical Society of Pennsylvania,1,6,0,1,10.5215
Historiska och litteraturhistoriska studier,0,0,0,1,10.30667
History Studies International Journal of History,0,0,0,1,10.9737
Hitit Universitesi Sosyal Bilimler Ensitusu Dergisi,0,45,0,0,10.17218
Hitit University,1,8,0,0,10.14395
Hogrefe Publishing Group,21,450,3,1027,10.1027__10.1026
Honam Institute of Humanities and Social Sciences,0,4,0,0,10.17939
Hong Kong Academy of Medicine Press,0,0,2,3,10.12809
"Hong Kong STM Publishing Co., Ltd.",0,0,0,17,10.7178
"Horizon Research Publishing Co., Ltd.",0,0,541,71,10.13189
Horticultural Research Institute,0,3,92,0,10.24266
Horticultural Studies (Hortis),0,6,0,0,10.16882
Hosokawa Powder Technology Foundation,0,0,0,2,10.14356
House of Scientific Research,0,0,0,3,10.22457
Hrvatski Prirodoslovno Drustvo (Croatian Society for Natural Sciences),0,0,0,1,10.18054
Hue Central Hospital,0,1,0,0,10.38103
Human Anatomy and Physiology Society,0,0,0,1,10.21692
Human Biology (The International Journal of Population Biology and Genetics),1,0,0,1,10.3378
